@relation 'TimeRaptors4CSC523.py F20172018_Date_WS_Temp_Vis_Total_Num_Rnd.arff F20172018_Deltas_WS_Temp_Vis_Total_Num.arff'
% ARFF file generated @ 2020-11-08 18:16:32.160156
@attribute datetime string
@attribute WindSpdKmh numeric
@attribute Temp numeric
@attribute Visibility numeric
@attribute TOTAL numeric
@data
'2018-12-09 14:00:00',3,-1,9,0
'2017-09-14 12:00:00',3,17,?,6
'2018-10-13 16:00:00',3,10,25,34
'2018-11-02 09:00:00',3,16,15,0
'2017-10-21 12:00:00',3,22.9,25,9
'2017-12-03 13:00:00',0,4,6,0
'2018-11-28 11:00:00',33.5,0,50,2
'2018-09-06 07:00:00',3,29,6,1
'2017-08-23 08:00:00',3,21,15,4
'2018-11-21 09:00:00',8.5,-1,9,0
'2018-08-15 08:00:00',8.5,22,12,0
'2017-12-07 15:00:00',8.5,2,20,0
'2018-12-02 15:00:00',3,7,?,0
'2017-09-17 16:00:00',3,22,50,26
'2018-09-15 13:00:00',0,22,30,338
'2017-11-06 11:00:00',3,17,0,2
'2017-09-24 09:00:00',8.5,22,33,6
'2017-09-26 09:00:00',3,22,33,4
'2018-09-22 15:00:00',68,16,12,26
'2017-09-20 12:00:00',8.5,27,20,5
'2017-08-18 12:00:00',8.5,26,5,4
'2018-09-17 11:00:00',8.5,19,?,0
'2017-08-21 10:00:00',3,23,6,5
'2017-09-11 09:00:00',3,15,33,71
'2018-09-20 08:00:00',0,18,30,13
'2018-09-15 14:00:00',3,24,30,640
'2018-10-05 12:00:00',3,21,77,19
'2017-09-13 11:00:00',3,18,2,1
'2018-10-06 13:00:00',?,18,?,0
'2017-09-03 10:00:00',3,15,?,0
'2018-10-01 12:00:00',3,23,12,4
'2017-09-28 06:00:00',15.5,17,25,10
'2018-12-13 10:00:00',8.5,0,7,1
'2017-11-01 11:00:00',8.5,3,0.5,0
'2018-09-19 13:00:00',8.5,23,13,27
'2018-10-24 17:00:00',15.5,6,33,3
'2017-10-25 12:00:00',0,15,20,47
'2018-08-15 13:00:00',3,28,13,0
'2018-11-16 10:00:00',8.5,-2,5,2
'2018-12-01 09:00:00',3,0,10,0
'2017-12-14 13:00:00',15.5,-3,77,11
'2018-08-26 08:00:00',3,22,33,1
'2017-11-21 07:00:00',0,2,15,0
'2018-10-13 11:00:00',8.5,9,15,115
'2018-12-07 10:00:00',15.5,1,77,9
'2017-09-18 07:00:00',3,16,?,0
'2017-10-04 14:00:00',3,20,9,1
'2018-12-10 09:00:00',15.5,-4,9,1
'2017-08-25 05:00:00',8.5,14,33,0
'2018-11-03 16:00:00',8.5,8,30,7
'2017-11-01 12:00:00',8.5,3,?,0
'2017-08-17 12:00:00',0,28,15,4
'2017-08-24 07:00:00',3,17,35,0
'2018-10-09 14:00:00',0,25,17,11
'2017-09-27 14:00:00',3,27,77,0
'2017-12-09 08:00:00',3,-3,12,0
'2018-11-30 14:00:00',0,1,2,0
'2018-11-04 11:00:00',3,10,77,13
'2017-09-21 17:00:00',3,18,30,6
'2018-09-03 08:00:00',0,25,7,2
'2018-09-14 13:00:00',15.5,21,?,0
'2017-09-02 11:00:00',8.5,10,51,2
'2017-08-25 15:00:00',3,22,33,0
'2017-10-18 15:00:00',3,17,20,3
'2018-12-08 11:00:00',8.5,-4,33,8
'2018-08-28 07:00:00',3,24,12,0
'2017-11-22 14:00:00',15.5,6,20,13
'2018-10-17 12:00:00',24,12,50,51
'2017-10-21 15:00:00',3,22,33,2
'2017-09-13 08:00:00',0,20,15,0
'2018-11-10 11:00:00',24,1,50,19
'2018-09-21 16:00:00',8.5,19,1,0
'2018-09-13 09:00:00',8.5,20,?,0
'2017-08-25 06:00:00',8.5,14,33,0
'2017-08-19 06:00:00',8.5,20,60,0
'2018-09-19 05:00:00',8.5,18,1,1
'2017-10-04 09:00:00',3,14,7,2
'2018-09-14 07:00:00',8.5,19,?,0
'2017-12-10 12:00:00',15.5,-3,25,3
'2017-10-11 08:00:00',3,16,10,4
'2017-09-18 09:00:00',3,18,?,0
'2018-09-11 10:00:00',3,20,1,0
'2017-12-14 14:00:00',15.5,-5,77,9
'2018-11-27 08:00:00',24,0,35,2
'2017-10-16 09:00:00',15.5,11,40,69
'2018-08-23 09:00:00',15.5,17,33,13
'2017-08-27 14:00:00',3,25,65,1
'2018-09-30 07:00:00',8.5,12,50,1
'2017-09-17 10:00:00',0,22,?,153
'2018-11-10 16:00:00',24,-2,60,3
'2018-11-02 11:00:00',8.5,16,30,0
'2017-09-19 14:00:00',8.5,26,25,80
'2018-11-30 15:00:00',0,1,5,0
'2018-11-21 14:00:00',15.5,0,9,1
'2018-10-07 07:00:00',3,19,?,0
'2018-08-29 13:00:00',3,33,8,3
'2017-09-30 12:00:00',15.5,12,50,14
'2017-09-18 16:00:00',3,21,2,4
'2017-10-14 16:00:00',3,16,13,1
'2018-08-27 14:00:00',3,32,4,1
'2017-08-20 10:00:00',3,33,9,6
'2018-10-06 08:00:00',3,15,?,1
'2018-08-20 12:00:00',8.5,23,15,11
'2018-12-03 13:00:00',24,6,77,3
'2018-11-28 07:30:00',24,-2,7,0
'2017-09-19 10:00:00',8.5,23,15,57
'2018-08-23 14:00:00',15.5,22,33,12
'2017-11-14 11:00:00',8.5,7,77,4
'2017-10-20 14:00:00',8.5,16,33,31
'2017-11-23 07:00:00',8.5,0,?,0
'2017-10-13 13:00:00',8.5,15,5,12
'2018-10-16 16:00:00',?,0,?,0
'2017-09-25 08:00:00',0,0,0,4
'2017-12-04 13:00:00',3,6,4,0
'2017-08-28 13:00:00',3,22,25,4
'2017-11-22 12:00:00',8.5,7,15,3
'2017-10-15 06:15:00',3,14,?,0
'2018-11-03 07:00:00',15.5,10,10,2
'2018-11-11 09:00:00',8.5,0,33,7
'2018-08-18 07:00:00',8.5,22,10,0
'2018-09-23 16:00:00',0,0,51,4
'2017-10-08 12:00:00',8.5,23,33,1
'2017-08-22 14:00:00',8.5,29,15,2
'2018-08-26 09:00:00',3,25,33,0
'2018-09-27 13:00:00',3,19,20,5
'2017-11-03 12:00:00',8.5,17,33,3
'2018-11-20 12:00:00',15.5,3,40,17
'2018-08-30 05:45:00',8.5,21,33,0
'2017-10-16 14:00:00',8.5,11,51,16
'2018-10-09 09:00:00',0,22,1,0
'2018-10-06 10:00:00',3,17,?,0
'2017-09-20 08:00:00',8.5,22,20,78
'2018-11-25 08:00:00',8.5,5,9,0
'2018-11-15 11:00:00',8.5,-3,33,1
'2018-12-01 14:00:00',3,3,10,0
'2017-10-12 16:00:00',15.5,11,30,28
'2018-08-27 06:45:00',8.5,21,1,0
'2017-08-24 12:00:00',8.5,22,50,2
'2018-11-25 12:00:00',8.5,7,15,13
'2017-12-13 13:00:00',33.5,-5,77,5
'2018-09-28 13:00:00',3,20,77,83
'2018-09-27 07:00:00',8.5,13,15,3
'2018-09-15 07:00:00',8.5,18,?,0
'2017-10-31 13:00:00',8.5,9,77,11
'2017-09-23 06:00:00',8.5,0,33,43
'2018-10-15 13:00:00',8.5,14,0,2
'2018-11-07 07:00:00',15.5,6,33,5
'2017-09-01 13:00:00',8.5,18,33,5
'2017-10-06 12:00:00',8.5,21,33,11
'2018-10-30 13:00:00',8.5,8,77,38
'2017-09-27 15:00:00',3,26,77,7
'2018-11-22 12:00:00',15.5,-6,33,2
'2018-11-07 08:00:00',15.5,6,33,7
'2018-11-14 11:00:00',15.5,3,77,5
'2017-10-01 11:00:00',0,25,77,8
'2018-10-26 11:00:00',3,6,45,24
'2017-10-22 06:00:00',0,16,33,0
'2017-09-25 11:00:00',0,0,0,4
'2017-12-12 08:00:00',3,2,3,0
'2017-10-09 15:00:00',8.5,23,13,2
'2018-10-13 13:00:00',8.5,10,77,121
'2017-11-27 15:00:00',3,5,40,1
'2018-10-04 08:00:00',15.5,15,1,0
'2017-09-02 10:00:00',15.5,10,51,4
'2018-10-12 11:00:00',15.5,13,77,69
'2018-08-25 13:00:00',0,25,20,10
'2018-12-05 12:00:00',0,-2,20,2
'2017-09-29 13:00:00',8.5,16,33,13
'2017-12-08 11:00:00',0,1,7,1
'2018-11-02 13:00:00',8.5,17,50,1
'2018-12-15 15:00:00',24,6,15,0
